 RC,           1 ,   1.99999777E-05
 RC,          12 ,   4.99997986E-06
 RC,          23 ,   1.09000015E-04
 RC,          34 ,   1.28999993E-04
 RC,          45 ,   2.87999981E-04
 RC,          56 ,   5.45999967E-04
 RC,          67 ,   8.93000048E-04
 RC,          78 ,   1.59000000E-03
 RC,          89 ,   2.39900011E-03
 RC,         100 ,   3.14699998E-03
 RC,          10 ,   3.99997225E-06
 RC,         120 ,   4.90400009E-03
 RC,         230 ,   3.68309990E-02
 RC,         340 ,  0.102593996    
 RC,         450 ,  0.261114985    
 RC,         560 ,  0.453007996    
 RC,         670 ,  0.802289009    
 RC,         780 ,   1.31115389    
 RC,         890 ,   2.03281593    
 RC,        1000 ,   3.06119800    
 RC,           1 ,   1.00000761E-06
 RC,        1112 ,   4.14749384    
 RC,        2223 ,   45.8555107    
 RC,        3334 ,   152.684052    
 RC,        4445 ,   380.856049    
